FG Threshold,mean iou,mean_precision,mean_recall,mean_accuracy
0.82,0.74,0.90,0.96,0.92
0.82,0.74,0.90,0.96,0.92
0.83,0.74,0.90,0.96,0.92
0.83,0.74,0.90,0.96,0.92
0.84,0.74,0.90,0.96,0.92
0.84,0.74,0.90,0.96,0.92
0.84,0.74,0.90,0.96,0.92
0.85,0.74,0.90,0.96,0.92
0.85,0.74,0.90,0.96,0.92
0.85,0.74,0.90,0.96,0.92
0.86,0.74,0.90,0.96,0.92
0.86,0.74,0.90,0.96,0.92
0.87,0.74,0.90,0.96,0.92
0.87,0.74,0.90,0.96,0.92
0.87,0.74,0.90,0.96,0.92
0.88,0.74,0.90,0.96,0.92
0.88,0.74,0.90,0.96,0.92
0.89,0.74,0.90,0.96,0.92
0.89,0.74,0.90,0.96,0.92
0.89,0.74,0.90,0.96,0.92
0.90,0.74,0.90,0.96,0.92
0.90,0.74,0.90,0.96,0.92
0.91,0.74,0.90,0.96,0.92
0.91,0.74,0.90,0.96,0.92
0.91,0.74,0.90,0.96,0.92
0.92,0.74,0.90,0.96,0.92
0.92,0.74,0.90,0.96,0.92
0.93,0.74,0.90,0.96,0.92
0.93,0.74,0.90,0.96,0.92
0.93,0.74,0.90,0.96,0.92
0.94,0.74,0.90,0.96,0.92
0.94,0.74,0.90,0.96,0.92
0.95,0.74,0.90,0.96,0.92
0.95,0.74,0.90,0.96,0.92
0.95,0.74,0.90,0.96,0.92
0.96,0.74,0.90,0.96,0.92
0.96,0.74,0.90,0.96,0.92
0.96,0.74,0.90,0.96,0.92
0.97,0.74,0.90,0.96,0.92
0.97,0.74,0.90,0.96,0.92
0.98,0.74,0.90,0.96,0.92
0.98,0.74,0.90,0.96,0.92
0.98,0.74,0.90,0.96,0.92
0.99,0.74,0.90,0.96,0.92
0.99,0.74,0.90,0.96,0.92
1.00,0.74,0.90,0.96,0.92
1.00,0.57,0.76,0.99,0.75
